folder,bestmAP50-95,best_recall
detr_original,0.863353,0.915375
detr_continuity_2d1_1d1,0.851154,0.914125
detr_continuity_2d1_1d10,0.846084,0.896625
detr_continuity_2d1_1d2,0.8423,0.92625
detr_continuity_2d1_1d3,0.848094,0.912625
detr_continuity_2d1_1d4,0.849318,0.910375
detr_continuity_2d1_1d5,0.847088,0.927125
detr_continuity_2d1_1d6,0.84862,0.92
detr_continuity_2d1_1d7,0.847085,0.904125
detr_continuity_2d1_1d8,0.850189,0.923625
detr_continuity_2d1_1d9,0.848194,0.9175
detr_continuity_2d2_1d1,0.858235,0.931125
detr_continuity_2d2_1d10,0.840913,0.912875
detr_continuity_2d2_1d2,0.862758,0.906625
detr_continuity_2d2_1d3,0.862388,0.908625
detr_continuity_2d2_1d4,0.85225,0.914
detr_continuity_2d2_1d5,0.862981,0.89775
detr_continuity_2d2_1d6,0.854211,0.90975
detr_continuity_2d2_1d7,0.861423,0.928875
detr_continuity_2d2_1d8,0.83679,0.931375
detr_continuity_2d2_1d9,0.843919,0.91175
detr_continuity_2d3_1d1,0.848434,0.9155
detr_continuity_2d3_1d10,0.848299,0.92
detr_continuity_2d3_1d2,0.849212,0.912875
detr_continuity_2d3_1d3,0.850377,0.941625
detr_continuity_2d3_1d4,0.854646,0.912875
detr_continuity_2d3_1d5,0.848676,0.927375
detr_continuity_2d3_1d6,0.847922,0.8975
detr_continuity_2d3_1d7,0.83971,0.8935
detr_continuity_2d3_1d8,0.846492,0.923125
detr_continuity_2d3_1d9,0.860918,0.917125
detr_continuity_2d4_1d1,0.857516,0.923125
detr_continuity_2d4_1d10,0.859456,0.927375
detr_continuity_2d4_1d2,0.854024,0.89775
detr_continuity_2d4_1d3,0.84428,0.930875
detr_continuity_2d4_1d4,0.855676,0.910875
detr_continuity_2d4_1d5,0.856992,0.915125
detr_continuity_2d4_1d6,0.863203,0.92375
detr_continuity_2d4_1d7,0.851865,0.91375
detr_continuity_2d4_1d8,0.857691,0.896375
detr_continuity_2d4_1d9,0.860206,0.8895
detr_continuity_2d5_1d1,0.840922,0.916625
detr_continuity_2d5_1d10,0.860206,0.9175
detr_continuity_2d5_1d2,0.846981,0.926875
detr_continuity_2d5_1d3,0.841678,0.90775
detr_continuity_2d5_1d4,0.854879,0.91775
detr_continuity_2d5_1d5,0.840723,0.914875
detr_continuity_2d5_1d6,0.856573,0.8935
detr_continuity_2d5_1d7,0.853479,0.92425
detr_continuity_2d5_1d8,0.848111,0.9215
detr_continuity_2d5_1d9,0.849662,0.93225
