version,experiment_type,dataset_ratio,lambda1,lambda2,precision,recall,mAP50,mAP50-95
v10,baseline,10,,,0.24679,0.04545,0.08276,0.04556
v10,baseline,25,,,0.82472,0.81875,0.8468,0.56109
v10,baseline,50,,,0.81236,0.72985,0.85835,0.56215
v10,baseline,75,,,0.85906,0.95098,0.96547,0.64458
v10,npp,10,0.08,0.02,0.24679,0.04545,0.08276,0.04556
v10,npp,10,0.08,0.06,0.24679,0.04545,0.08276,0.04556
v10,npp,10,0.08,0.08,0.24679,0.04545,0.08276,0.04556
v10,npp,25,0.08,0.02,0.81286,0.76477,0.83379,0.51432
v10,npp,25,0.08,0.06,0.6795,0.74776,0.81234,0.49335
v10,npp,25,0.08,0.08,0.82722,0.60923,0.74851,0.44521
v10,npp,50,0.08,0.02,0.83089,0.79168,0.89063,0.56036
v10,npp,50,0.08,0.06,0.77002,0.85113,0.85538,0.54726
v10,npp,50,0.08,0.08,0.87098,0.73928,0.86392,0.54867
v10,npp,75,0.08,0.02,0.88747,0.91896,0.95096,0.64194
v10,npp,75,0.08,0.06,0.80391,0.8761,0.89841,0.59168
v10,npp,75,0.08,0.08,0.88036,0.75815,0.88005,0.5908
